Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Mythology,This man with a golden touch was the son of Gordius & Cybele,Midas,Judy Weightman,False,False,$100,False,4,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
First Names,"Castro is probably the most famous man with this name from Latin meaning ""faithful""",Fidel,Judy Weightman,False,False,$100,False,14,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Military Slang,"Beverage referred to as battery acid, blackout & paint remover",coffee,Dennis O'Brien,False,False,$100,False,1,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
General Science,The International Date Line runs north & south through the Pacific mainly along this meridian,180th,Dennis O'Brien,False,False,$200,False,10,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Movie Nuns,"In 1952 she was ""Singin' in the Rain""; in 1966 she was ""The Singing Nun""",Debbie Reynolds,Judy Weightman,False,False,$200,False,18,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Incredible Edibles,"Some people really do eat this rodent, but we assume they remove the quills first",porcupine,Tim Grome,False,False,$200,False,25,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Mythology,Ares was the father of this race of warrior women,the Amazons,Tim Grome,False,False,$200,False,5,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
First Names,"Actor-director Welles might have been able to tell you that this name means ""little bear""",Orson,Judy Weightman,False,False,$200,False,15,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Military Slang,"These have been called ""chest hardware""",medals,Dennis O'Brien,False,False,$200,False,2,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
General Science,In the ocean the food chain typically begins with this mass of microscopic plants & animals,plankton,Dennis O'Brien,False,False,$300,False,12,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Movie Nuns,"Recent film that featured the following: ""Nothing you could say  could tear me away from my God (my God) / Nothing you could do 'cause I'm stuck like glue to my God (my God, my God)...""",Sister Act,Judy Weightman,False,False,$700,True,19,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Incredible Edibles,Garlic ice cream & garlic candy kisses are served at the Garlic Festival in Gilroy in this West Coast state,California,Judy Weightman,False,False,$300,False,28,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Mythology,Eros was the personification of this emotion,love,Tim Grome,False,False,$300,False,9,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
First Names,"The name of a major character in ""Dr. Zhivago"", it's a shortened form of Larissa",Lara,Judy Weightman,False,False,$300,False,17,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Military Slang,A GI Jesus is a chaplain & a jumping Jesus is a chaplain in this unit,paratroopers,Judy Weightman,False,False,$300,False,3,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
General Science,In 1938 Otto Hahn & Fritz Strassman discovered this process of splitting an atom,nuclear fission,Tim Grome,False,False,$400,False,26,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Movie Nuns,"This director's 1938 suspense film ""The Lady Vanishes"" features a mysterious nun in high heels",Hitchcock,Dennis O'Brien,False,False,$400,False,20,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Incredible Edibles,Joy of Cooking suggests serving this animal's head at Christmas with carrots in place of the tusks,a boar,,True,False,$400,False,29,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Mythology,This man was imprisoned with his son Icarus in the Labyrinth by King Minos,Daedalus,Tim Grome,False,False,$400,False,11,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
First Names,"This name of a naked lady is a Latinization of God gifu meaning ""God's gift""",Lady Godiva,Judy Weightman,False,False,$400,False,22,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Military Slang,These huge naval ships have been referred to as bird boats,aircraft carriers,Dennis O'Brien,False,False,$400,False,7,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
General Science,"Cerium, a rare earth metal, was named for this asterioid discovered 2 years before the element",Ceres,Tim Grome,False,False,$500,False,27,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Movie Nuns,"In ""Robin and Marian"", she played Robin Hood's fair lady Maid Marian, who has become a nun",Audrey Hepburn,Dennis O'Brien,False,False,$500,False,21,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Incredible Edibles,"Prejean's Restaurant in Lafayette, Louisiana features an entire meal based on this large reptile",an alligator,Judy Weightman,False,False,$500,False,30,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Mythology,Alcmena gave birth to twin sons: Iphicces by Amphitryon & this great hero by Zeus,Hercules,Judy Weightman,False,False,$500,False,13,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
First Names,"Vanya is a nickname for Russians whose given name is this, their form of John",Ivan,Judy Weightman,False,False,$500,False,23,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
Military Slang,Army men called theirs Li'l Abners & the WACs called the ones issued them gruesome twosomes,shoes,,True,False,$500,False,8,Show #2159,"Thursday, January 13, 1994",Jeopardy! Round
French History,Around 1683 this Sun King secretly married his mistress Madame de Maintenon,Louis XIV,Judy Weightman,False,False,$200,False,3,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Opera,This character is a barber in one opera & Count Almaviva's valet in another,Figaro,Tim Grome,False,False,$200,False,20,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Weights & Measures,A is the abbreviation of this unit of electric current,an amp (ampere),Judy Weightman,False,False,$200,False,23,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Place Name Origins,"Mazatlan, which means ""place of deer"" in the Nahuatl language, is a resort city in this country",Mexico,Judy Weightman,False,False,$200,False,8,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Religion,"In the Lord's Prayer, the 2 places our Father's will be done",earth & heaven,Tim Grome,False,False,$200,False,2,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Grover Cleveland,Thomas A. Hendricks for his first term & Adlai E. Stevenson for his second,vice presidents,Judy Weightman,False,False,$200,False,1,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
French History,Madame du Barry was born in this region of France that's now known for its fine sparkling wine,champagne,Dennis O'Brien,False,False,$400,False,10,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Opera,Enrico Caruso starred as Lieutenant Pinkerton when this opera played at the Met in 1907,Madame Butterfly,Dennis O'Brien,False,False,$400,False,22,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Weights & Measures,It's 27 cubic feet,a cubic yard,Dennis O'Brien,False,False,$400,False,24,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Place Name Origins,"This English county's name was derived from Old English for ""South Saxons"", Suth Seaxe",Sussex,Dennis O'Brien,False,False,$400,False,9,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Religion,"George Hensley of Tenn. started the practice of ""handling"" these creatures in his ministry before 1910",snakes,Judy Weightman,False,False,$400,False,4,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Grover Cleveland,"After serving as sheriff of Erie County, N.Y., Cleveland became mayor of this city in Erie County",Buffalo,Dennis O'Brien,False,False,$400,False,15,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
French History,"Mary of Guise, a member of the powerful Guise family of France, was the mother of this Scotswoman",Mary Queen of Scots,Dennis O'Brien,False,False,$600,False,11,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Opera,"At end of this Verdi opera, Violetta Valery dies in the arms of her lover Alfredo Germont",La Traviata,Dennis O'Brien,False,False,$600,False,28,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Weights & Measures,"20 long hundredweight, are equivalent to a long one of these",a long ton,Dennis O'Brien,False,False,$600,False,25,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Place Name Origins,"Durban, a city in this country, was named for Sir Benjamin D'Urban, a governor of the Cape Colony",South Africa,Dennis O'Brien,False,False,$600,False,12,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Religion,"As King James is known for his Bible, Caliph Uthman is known for this holy book",the Koran,Judy Weightman,False,False,$600,False,5,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Grover Cleveland,Cleveland sent federal troops to Illinois to intervene in a strike of these workers led by Eugene V. Debs,Pullman porters,Dennis O'Brien,False,False,$600,False,16,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
French History,"Gaspard de Coligny, a Huguenot leader was thrown out a window & killed during this massacre",St. Bartholomew\'s Massacre,Tim Grome,False,False,$800,False,19,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Opera,"This Beethoven opera is based on one titled ""Leonore, or Conjugal Love""",Fidelio,Judy Weightman,False,False,$800,False,29,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Weights & Measures,Surveyors use this unit of measure that's subdivided into 100 links,a chain,Judy Weightman,False,False,$800,False,26,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Place Name Origins,"Chilean seaport whose name is Spanish for ""valley of paradise""",Valparaiso,Dennis O'Brien,False,False,$800,False,13,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Religion,"There's a Roman Catholic devotion to this part of Jesus, a symbol of his love for humanity",the sacred heart,Judy Weightman,False,False,$800,False,6,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Grover Cleveland,Cleveland was defeated for president by this man in 1888 & defeated him in 1892,Benjamin Harrison,,False,False,$800,True,17,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
French History,"For almost 500 years, the eldest son of the King of France was known by this title",the dauphin,,False,False,"$1,600",True,21,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Opera,This opera opens in the cottage of Peter the broommaker,Hansel and Gretel,Judy Weightman,False,False,$1000,False,30,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Weights & Measures,This metric measure of area is almost 2 1/2 acres,a hectare,Tim Grome,False,False,$1000,False,27,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Place Name Origins,"The name of this grand duchy comes from a Germanic word for ""little fortress""",Luxembourg,Tim Grome,False,False,$1000,False,14,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Religion,Nyingmapa Buddhists are distinguished from the Gelugpa Sect by the color of these,their hats,,True,False,$1000,False,7,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Grover Cleveland,Cleveland tried in vain to restore this queen to the throne of Hawaii,Liliuokalani,,True,False,$1000,False,18,Show #2159,"Thursday, January 13, 1994",Double Jeopardy! Round
Going To The Dogs,This popular breed may have been named for its proficiency in hunting woodcock,a cocker spaniel,Judy Weightman,False,False,$100,False,1,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Labrador,Ungava is the section of the Labrador peninsula that's located in this French-speaking province,Quebec,Mike Shearn,False,False,$100,False,26,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Retrievers,Menelaus & Agamemnon went with a group to Troy to retrieve her,Helen of Troy,Mike Shearn,False,False,$100,False,21,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Pointers,"When you eat this vegetable held by special little handles, don't butter all the rows at once",corn (on the cob),Mike Shearn,False,False,$100,False,6,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Boxers,"'Before a title fight with Billy Conn, Joe Louis said, ""He can run but he cant"" do this",hide,Mike Shearn,False,False,$100,False,16,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Bones,This framework of bones supporting the lower abdomen includes the Ilium & pubis bones,the pelvis,Elizabeth Schmidt,False,False,$100,False,11,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Going To The Dogs,"With its short legs & long body it's nicknamed ""Sausage Hound""",a dachshund,Mike Shearn,False,False,$200,False,2,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Labrador,It's believed that this noted Norseman visited the peninsula around 1000 A.D.,Leif Erikson,Mike Shearn,False,False,$200,False,27,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Retrievers,He disguised himself as the goddess Freya to retrieve his hammer from the giant Thrym,Thor,Mike Shearn,False,False,$200,False,22,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Pointers,Heloise thinks you should turn these old chenille coverings into dishcloths,a bedspread,Elizabeth Schmidt,False,False,$200,False,7,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Boxers,"He appears in TV commercials for Doritos tortilla chips with sons George, George, George & George",George Foreman,Mike Shearn,False,False,$200,False,17,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Bones,It's the part of the body where you'd find the 7 tarsal bones,the foot,Elizabeth Schmidt,False,False,$200,False,12,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Going To The Dogs,"Ideally, the spots on this coach dog should be round & well-defined without intermingling",Dalmatian,Mike Shearn,False,False,$300,False,3,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Labrador,The Hudson's Bay Company was one of the groups exploring the area & trading for these,pelts (or furs),Mike Shearn,False,False,$300,False,28,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Retrievers,In 1985 Robert D. Ballard sent a camera down into the Atlantic to bring back the first shots of this since 1912,the Titanic,Mike Shearn,False,False,$300,False,23,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Pointers,This proverbial advice about how to behave in Italy's capital goes back to St. Ambrose,"""When in Rome, act as the Romans do""",Elizabeth Schmidt,False,False,$300,False,8,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Boxers,In 1970 this former champ made a comeback in bouts with Jerry Quarry & Oscar Bonavena,Muhammad Ali,Mike Shearn,False,False,$300,False,18,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Bones,"Shaped like a horseshoe, this bone normally has 8 teeth on each side",the jawbone (or the mandible),Mike Shearn,False,False,$300,False,13,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Going To The Dogs,The Basset hound is second only to this relative in having the keenest sense of smell,bloodhound,Mike Shearn,False,False,$400,False,4,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Labrador,"Opalescent specimens of Labradorite are sold under this ""lunar"" name",moonstone,Judy Weightman,False,False,$400,False,29,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Retrievers,"In 1871 he found the man he was seeking at Ujiji; the man, though sick, wouldn't return with him",Henry Stanley,Mike Shearn,False,False,"$1,000",True,24,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Pointers,Some people claim the shiatsu type of this can reduce headaches,massage,Judy Weightman,False,False,$400,False,9,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Boxers,"Born Walker Smith, Jr., this great ""sweet"" middleweight won 174 of his 201 career bouts",Sugar Ray Robinson,Elizabeth Schmidt,False,False,$400,False,19,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Bones,"Of the 2 bones in the lower leg, it's the one not joined to the knee",the fibula,Judy Weightman,False,False,$400,False,14,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Going To The Dogs,"Also called a warrigal, this wild dog is one of the few nonmarsupial mammals of Australia",dingo,Judy Weightman,False,False,$500,False,5,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Labrador,After exploring the area. this partner of Marquette was named royal hydrographer,Jolliet,Mike Shearn,False,False,$500,False,30,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Retrievers,He went through Hell to bring back his wife Eurydice,Orpheus,Elizabeth Schmidt,False,False,$500,False,25,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Pointers,Brooke Shields suggests pushing these back with an orangewood stick,your cuticles,Judy Weightman,False,False,$500,False,10,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Boxers,"Subject of the film ""Raging Bull"", he held the middleweight title from 1949 to 1951",Jake LaMotta,Mike Shearn,False,False,$500,False,20,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
Bones,The biceps & triceps muscles surround this arm bone,the humerus,Mike Shearn,False,False,$500,False,15,Show #2160,"Friday, January 14, 1994",Jeopardy! Round
American History,"On June 15, 1775 he was chosen to command the Continental Army",Washington,Judy Weightman,False,False,$200,False,7,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Flowers,"The Persians originally called this flower nilak, meaning ""bluish""",lilac,Mike Shearn,False,False,$200,False,26,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Composers,"His father, the composer William Southcombe Lloyd Webber, was the director of the London College of Music",Andrew Lloyd Webber,Mike Shearn,False,False,$200,False,21,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Colleges & Universities,"This home of the ""Fighting Irish"" is governed by a board of 42 lay people & 8 priests",Notre Dame,Judy Weightman,False,False,$200,False,8,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Nonfiction,"""The Blue and the Gray"" is an account of this event drawn from private diaries & state papers",the Civil War,Judy Weightman,False,False,$200,False,1,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
"Crossword Clues ""N""",One is hit on the head (4),nail,Judy Weightman,False,False,$200,False,2,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
American History,"On June 15, 1924 congress passed a law making these native-born people U.S. citizens",the Native Americans (or the Indians),Mike Shearn,False,False,$400,False,17,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Flowers,"Popular at Easter, a white one of these flowers is sacred to the Virgin Mary",lily,Mike Shearn,False,False,$400,False,27,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Composers,"Jacques Brel became famous in France, but he was born in this Belgian capital",Brussels,Mike Shearn,False,False,$400,False,22,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Colleges & Universities,This New Jersey school is the fourth-oldest institution of higher learning in the U.S.,Princeton,Judy Weightman,False,False,$400,False,9,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Nonfiction,In a 1952 book Dixon Wecter detailed this author's early years in Hannibal,Mark Twain,Elizabeth Schmidt,False,False,$400,False,13,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
"Crossword Clues ""N""","About his jacket, critics pandit (5)",Nehru,Elizabeth Schmidt,False,False,$400,False,3,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
American History,In '80 Pres. Carter announced a grain & high-tech embargo against the USSR for invading this country,Afghanistan,Mike Shearn,False,False,$600,False,18,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Flowers,"An old legend says those who wear this flower will be remembered by their lovers, hence its name",forget-me-not,Mike Shearn,False,False,$600,False,28,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Composers,"He wrote his first opera, ""La Princesse Jaune"", in 1872, 14 years before ""Carnival of the Animals""",(Camille) Saint-Saëns,Elizabeth Schmidt,False,False,$600,False,23,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Colleges & Universities,The Bodleian Library at this university is England's second largest,Oxford,Judy Weightman,False,False,$600,False,10,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Nonfiction,"In 1989 this news partner of Jim Lehrer wrote a bestselling memoir called ""Wordstruck""",(Robert) MacNeil,Elizabeth Schmidt,False,False,$600,False,14,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
"Crossword Clues ""N""",(7),nothing,Elizabeth Schmidt,False,False,$600,False,4,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
American History,"In the early 1800s, this lexicographer served in the Massachusetts legislature",(Noah) Webster,Elizabeth Schmidt,False,False,$800,False,19,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Flowers,Miniature ones of these flowers include the Starina & the Baby Betsy McCall,a rose,Judy Weightman,False,False,$800,False,29,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Composers,This Russian ballet composer was deeply hurt when his patron Madame von Meck cut him off in 1890,Tchaikovsky,Elizabeth Schmidt,False,False,$800,False,24,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Colleges & Universities,"This Evanston, Ill. university was the nation's first to have a school of speech",Northwestern,Mike Shearn,False,False,$800,False,11,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Nonfiction,"Leon Edel won a 1963 Pulitzer for Volumes II & III of his biography of this ""Turn of the Screw"" author",Henry James,Mike Shearn,False,False,$800,False,15,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
"Crossword Clues ""N""",Country city (9),Nashville,Judy Weightman,False,False,$800,False,5,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
American History,This English firm owned the tea destroyed at the Boston Tea Party,British East India Company,,True,False,$1000,False,20,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Flowers,The jonquil is a species of this flower named for a mythical youth,the narcissus,Judy Weightman,False,False,"$2,000",True,30,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Composers,"He also wrote a ""Hollywood Suite"", but his ""Grand Canyon Suite"" is more famous",Grofé,Judy Weightman,False,False,$1000,False,25,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Colleges & Universities,"Baylor University was founded in Independence, Texas & moved to this city in 1886",Waco,Judy Weightman,False,False,$1000,False,12,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
Nonfiction,In 1993 this self-help book by M. Scott Peck celebrated its 9th year on the New York Times bestsellers list,The Road Less Traveled,,False,False,"$1,000",True,16,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
"Crossword Clues ""N""",It falls daily (5),Night,Mike Shearn,False,False,$1000,False,6,Show #2160,"Friday, January 14, 1994",Double Jeopardy! Round
The Bible,"The fourth of the Ten Commandments says, ""Remember"" this ""day, to keep it holy""",the sabbath,Jim Kitchel,False,False,$100,False,11,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Song Lyrics,"Elvis sang, ""Don't"" do this ""to a heart that's true""",be cruel,Judy Weightman,False,False,$100,False,2,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Annual Events,"One day of National Hospital Week, Florence Nightingale's birthday, honors these people",nurses,Lee Sebel,False,False,$100,False,1,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Elements,Ozone contains 3 atoms  of this element per molecule,oxygen,Jim Kitchel,False,False,$100,False,16,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Fashion,"Knickers, short for this word, are trousers banded below the knee",knickerbockers,Judy Weightman,False,False,$100,False,23,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
6-Letter Words,"A Louisianan of French descent, or his dialect",Creole,Judy Weightman,False,False,$100,False,18,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Bible,"In Genesis 19, angels warned Lot to take his wife & daughters & flee this city",Sodom,Judy Weightman,False,False,$200,False,12,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Song Lyrics,"""If we could"" do this, ""Just imagine it, chatting to a chimp in chimpanzee""","""talk to the animals""",Lee Sebel,False,False,$200,False,4,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Annual Events,"On Valentine's Day, sweethearts can the ""Chocolate Lover's Extravaganza"" in this Pa. town",Hershey,Lee Sebel,False,False,$200,False,3,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Elements,Mercury added to this gaseous element will make it glow blue instead of orange-red,neon,Judy Weightman,False,False,$200,False,17,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Fashion,"From the name of a Scottish inventor, it's what the British call a raincoat",a Makintosh,Jim Kitchel,False,False,$200,False,24,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
6-Letter Words,"A railroad locomotive, or any machine that converts thermal energy into mechanical energy",an engine,Lee Sebel,False,False,$200,False,19,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Bible,"David saw her from the roof of his house, summoned her & seduced her",Bathsheba,Jim Kitchel,False,False,$300,False,13,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Song Lyrics,"""By the time I"" do this ""she'll be risin', she'll find the note I left hangin' on her door""",get to Phoenix,Jim Kitchel,False,False,$300,False,5,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Annual Events,In June this state celebrates Little Big Horn Days,Montana,,True,False,$300,False,6,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Elements,"Though the Curies discovered it in pitchblende in 1898,  it wasn't isolated as a metal until 1910",radium,Judy Weightman,False,False,$300,False,28,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Fashion,This Mexican men's shawl is similar to a poncho but without the hole,a serape,Judy Weightman,False,False,$300,False,25,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
6-Letter Words,"Edere is Latin for ""to eat"" & this is English for ""fit to eat""",edible,Judy Weightman,False,False,$300,False,20,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Bible,"Before they were chosen apostles, Peter, Andrew, James & John had this trade",fishermen,Judy Weightman,False,False,$400,False,14,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Song Lyrics,"""Mammas don't let your babies grow up to be"" these; make 'em be doctors and lawyers and such""",cowboys,Jim Kitchel,False,False,$400,False,9,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Annual Events,"Hood River, Oregon hosts an annual September swim across this mighty river",the Columbia,Lee Sebel,False,False,$400,False,7,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Elements,"First identified by a Swedish chemist in 1879, holmium was named for this city",Stockholm,Judy Weightman,False,False,$400,False,29,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Fashion,Mousquetaires are dressy ones of these with lengthwise buttoned openings at the wrist,gloves,Judy Weightman,False,False,$400,False,26,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
6-Letter Words,"From a nickname for Margaret, it's a member of the crow family known for its chattering call",a magpie,,False,False,$800,True,21,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Bible,"Jesus said there was no greater prophet than this man, his cousin",John the Baptist,Jim Kitchel,False,False,$500,False,15,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Song Lyrics,"""The winds grow colder and suddenly you're older and all because of"" this",the man that got away,,True,False,$500,False,10,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Annual Events,Helldorado Days in this Arizona city features reenactments of gunfights & an 1880 fashion show,Tombstone,Lee Sebel,False,False,$500,False,8,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
The Elements,"On the periodic table, Xe marks the spot for this element",xenon,Jim Kitchel,False,False,$500,False,30,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
Fashion,This style of strapless purse ranges in size from the small evening bag to the large envelope bag,a clutch,Judy Weightman,False,False,$500,False,27,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
6-Letter Words,"From the Latin for ""storehouse"", this word can refer to the bottom of the standings in an athletic league",the cellar,Judy Weightman,False,False,$500,False,22,Show #2161,"Monday, January 17, 1994",Jeopardy! Round
World History,This conflict that began 1899 is also known as the South African War,the Boer War,Lee Sebel,False,False,$200,False,8,Show #2161,"Monday, January 17, 1994",Double Jeopardy! Round
Famous Belas,"Biographies of this man include ""The Count"" &  ""The Man Behind the Cape""",Bela Lugosi,Judy Weightman,False,False,$200,False,1,Show #2161,"Monday, January 17, 1994",Double Jeopardy! Round
National Memorials,"Fort Clatsop, Oregon, where these 2 explorers spent the winter of 1805-06, became a nat'l memorial in 1958",Lewis & Clark,Jim Kitchel,False,False,$200,False,7,Show #2161,"Monday, January 17, 1994",Double Jeopardy! Round
Theatre,"Tn 1993 a musical version of this playwright's ""The Goodbye Girl"" premiered on Broadway",Neil Simon,Lee Sebel,False,False,$200,False,17,Show #2161,"Monday, January 17, 1994",Double Jeopardy! Round
Wines & Spirits,Krug & Tattinger are major producers of this sparkling French wine,champagne,Jim Kitchel,False,False,$200,False,24,Show #2161,"Monday, January 17, 1994",Double Jeopardy! Round
